Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.98,1.56352,0.10879,-0.200987,1.66533,-0.0802285,0.320679,1.669,0.277088,0.304658,1.6491,0.337283,0.0546889,1.46069,0.354526,-0.217039,
2.01,1.56361,0.108933,-0.200969,1.66534,-0.0801416,0.320719,1.66897,0.277188,0.304681,1.64913,0.337523,0.0544336,1.45935,0.35464,-0.216821,
2.04,1.56364,0.108989,-0.200968,1.66531,-0.0800711,0.320726,1.66889,0.277274,0.304605,1.64911,0.337637,0.0543091,1.45928,0.354564,-0.217049,
2.07,1.56369,0.109062,-0.200969,1.66531,-0.0800346,0.320721,1.66886,0.277315,0.304597,1.64909,0.337782,0.0543696,1.45914,0.355176,-0.217338,
2.1,1.56376,0.109132,-0.200948,1.66533,-0.0800193,0.320741,1.66883,0.277367,0.304593,1.649,0.338014,0.0542791,1.45878,0.355111,-0.217039,
2.13,1.56376,0.109177,-0.200935,1.66528,-0.0799532,0.320753,1.66878,0.277417,0.304593,1.64885,0.338204,0.0542527,1.45736,0.355395,-0.216295,
2.16,1.56375,0.10926,-0.20093,1.66528,-0.079945,0.320753,1.66871,0.277461,0.304578,1.6487,0.338367,0.0541193,1.45721,0.355344,-0.216571,
2.19,1.56377,0.109337,-0.2009,1.66529,-0.0799449,0.32077,1.66864,0.277513,0.304579,1.64856,0.338559,0.0542511,1.45731,0.355638,-0.216524,
2.22,1.56375,0.10942,-0.200896,1.66528,-0.0799467,0.320765,1.66866,0.277773,0.304507,1.64846,0.338683,0.0542877,1.45661,0.355897,-0.216836,
2.25,1.56355,0.10985,-0.200792,1.66525,-0.0799429,0.32077,1.66854,0.278021,0.304457,1.64826,0.33894,0.0545459,1.45684,0.356296,-0.216778,
2.28,1.56349,0.109992,-0.200769,1.66519,-0.0799557,0.320787,1.66845,0.278018,0.304511,1.64808,0.339034,0.0547108,1.45687,0.356737,-0.216997,
2.31,1.56342,0.11006,-0.200726,1.66517,-0.0799627,0.320799,1.66848,0.27818,0.304544,1.64791,0.339146,0.0549259,1.45699,0.357044,-0.216967,
2.34,1.56333,0.110266,-0.200708,1.66508,-0.0799996,0.320758,1.66839,0.278192,0.304585,1.64782,0.339334,0.0551745,1.45719,0.357717,-0.216925,
2.37,1.5632,0.11048,-0.200673,1.6649,-0.0800061,0.32076,1.66819,0.278194,0.304698,1.64746,0.339649,0.0553087,1.45626,0.358314,-0.216502,
2.4,1.56311,0.110507,-0.200653,1.6648,-0.0800118,0.320779,1.66817,0.278532,0.30471,1.64724,0.339805,0.055544,1.45534,0.358281,-0.21667,
2.43,1.56308,0.110558,-0.200657,1.66475,-0.080021,0.320783,1.66816,0.278748,0.304719,1.64713,0.339918,0.0558094,1.45563,0.358493,-0.216794,
2.46,1.56302,0.110666,-0.200656,1.66454,-0.0800489,0.320763,1.668,0.278764,0.304805,1.64673,0.340181,0.0560837,1.45453,0.359111,-0.216733,
2.49,1.56298,0.110685,-0.200653,1.66447,-0.080033,0.320769,1.66782,0.278739,0.304848,1.64661,0.340249,0.056231,1.45387,0.359296,-0.216612,
2.52,1.56297,0.110696,-0.200657,1.66447,-0.0800386,0.320786,1.66778,0.278854,0.304848,1.64655,0.340268,0.0565002,1.45398,0.359528,-0.21603,
2.55,1.56295,0.110697,-0.200655,1.66443,-0.0800477,0.320789,1.66767,0.27883,0.304886,1.64646,0.340362,0.0565711,1.45367,0.360159,-0.216292,
2.58,1.56291,0.11072,-0.200651,1.66433,-0.0800538,0.320841,1.66749,0.27898,0.304999,1.64631,0.340655,0.0568786,1.45279,0.361095,-0.215539,
2.61,1.56285,0.110747,-0.200666,1.66428,-0.0800522,0.320861,1.6674,0.278957,0.305051,1.64625,0.340741,0.0568678,1.45283,0.360822,-0.215772,
2.64,1.56283,0.110773,-0.200686,1.66417,-0.0800968,0.320877,1.66725,0.278937,0.305117,1.64616,0.340901,0.0570309,1.45351,0.361699,-0.214138,
2.67,1.5628,0.110781,-0.200681,1.66412,-0.0801043,0.320904,1.6671,0.279098,0.305167,1.64608,0.341003,0.0571216,1.4518,0.362072,-0.214227,
2.7,1.56278,0.110787,-0.20068,1.6641,-0.0801108,0.320927,1.66701,0.279059,0.305177,1.64599,0.341218,0.0573263,1.45231,0.362437,-0.214618,
2.73,1.56274,0.110786,-0.200686,1.66402,-0.080108,0.320946,1.66688,0.278999,0.305216,1.64584,0.341323,0.0574801,1.45155,0.362474,-0.214938,
2.76,1.56272,0.110795,-0.200712,1.66382,-0.0801519,0.320955,1.66642,0.278935,0.305196,1.64561,0.341571,0.0580166,1.45137,0.363766,-0.215063,
2.79,1.5627,0.110787,-0.20071,1.66367,-0.0801714,0.320996,1.6663,0.278897,0.305259,1.64544,0.341695,0.0581319,1.45135,0.362561,-0.215388,
