Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
2.31,1.09635,-1.7717,-0.0315335,0.0139029,0.0327857,-0.0203376,1.22157,0.362373,0.0195971,-0.0283204,0,0,
2.34,1.09541,-1.77129,-0.0305896,0.0133568,0.0314637,-0.0182031,1.22216,0.361523,0.0189133,-0.0275901,0,0,
2.37,1.09449,-1.77089,-0.0296817,0.0128612,0.030265,-0.0165189,1.22272,0.360695,0.018274,-0.0268646,0,0,
2.4,1.0936,-1.7705,-0.0288067,0.012406,0.0291655,-0.0151748,1.22327,0.359889,0.0176719,-0.026148,0,0,
2.43,1.09273,-1.77013,-0.0279623,0.0119834,0.0281468,-0.0140878,1.2238,0.359104,0.0171015,-0.025443,0,0,
2.46,1.09189,-1.76977,-0.0271465,0.0115875,0.0271947,-0.0131957,1.22431,0.358341,0.0165586,-0.0247517,0,0,
2.49,1.09108,-1.76942,-0.0263575,0.0112139,0.0262982,-0.0124515,1.22481,0.357598,0.01604,-0.0240755,0,0,
2.52,1.09029,-1.76908,-0.025594,0.0108593,0.025449,-0.0118201,1.22529,0.356875,0.0155429,-0.0234151,0,0,
2.55,1.08952,-1.76876,-0.0248548,0.0105211,0.0246406,-0.0112751,1.22576,0.356173,0.0150654,-0.0227712,0,0,
2.58,1.08878,-1.76844,-0.0241388,0.0101972,0.0238679,-0.0107969,1.22621,0.355489,0.0146058,-0.0221439,0,0,
2.61,1.08805,-1.76814,-0.023445,0.00988607,0.0231269,-0.0103705,1.22665,0.354825,0.0141628,-0.0215333,0,0,
2.64,1.08735,-1.76784,-0.0227725,0.00958653,0.0224147,-0.00998477,1.22707,0.354179,0.0137353,-0.0209394,0,0,
2.67,1.08666,-1.76755,-0.0221207,0.00929759,0.0217287,-0.00963141,1.22748,0.35355,0.0133223,-0.0203619,0,0,
2.7,1.086,-1.76727,-0.0214887,0.00901846,0.0210668,-0.00930406,1.22788,0.352939,0.0129231,-0.0198006,0,0,
2.73,1.08536,-1.767,-0.0208758,0.00874853,0.0204276,-0.00899795,1.22827,0.352345,0.012537,-0.0192552,0,0,
2.76,1.08473,-1.76674,-0.0202816,0.00848724,0.0198096,-0.00870946,1.22865,0.351767,0.0121634,-0.0187255,0,0,
2.79,1.08412,-1.76649,-0.0197052,0.00823417,0.0192117,-0.00843585,1.22901,0.351205,0.0118017,-0.0182109,0,0,
2.82,1.08353,-1.76624,-0.0191462,0.00798892,0.0186328,-0.00817502,1.22936,0.350659,0.0114516,-0.0177113,0,0,
2.85,1.08296,-1.766,-0.0186041,0.00775116,0.0180723,-0.00792534,1.22971,0.350127,0.0111125,-0.0172261,0,0,
2.88,1.0824,-1.76577,-0.0180782,0.00752059,0.0175292,-0.00768558,1.23004,0.349611,0.010784,-0.016755,0,0,
2.91,1.08186,-1.76554,-0.0175681,0.00729695,0.0170029,-0.00745475,1.23036,0.349108,0.0104658,-0.0162976,0,0,
2.94,1.08133,-1.76532,-0.0170733,0.00707998,0.0164927,-0.00723208,1.23068,0.348619,0.0101574,-0.0158536,0,0,
2.97,1.08082,-1.76511,-0.0165934,0.00686947,0.0159981,-0.00701696,1.23098,0.348143,0.0098587,-0.0154226,0,0,
3,1.08032,-1.7649,-0.0161278,0.00666521,0.0155186,-0.00680887,1.23128,0.34768,0.0095692,-0.0150042,0,0,
3.03,1.07983,-1.7647,-0.0156762,0.00646699,0.0150537,-0.00660741,1.23157,0.34723,0.00928863,-0.0145981,0,0,
3.06,1.07936,-1.76451,-0.0152381,0.00627462,0.0146028,-0.00641224,1.23184,0.346792,0.00901672,-0.0142039,0,0,
3.09,1.07891,-1.76432,-0.0148132,0.00608793,0.0141655,-0.00622304,1.23211,0.346366,0.00875317,-0.0138213,0,0,
3.12,1.07846,-1.76414,-0.0144009,0.00590674,0.0137415,-0.00603957,1.23238,0.345951,0.00849773,-0.0134499,0,0,
