Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.74,1.58494,0.062013,-0.208284,1.66959,-0.114094,0.32344,1.69489,0.241489,0.303215,1.68596,0.31065,0.0615031,1.48509,0.398251,-0.224926,
1.77,1.58508,0.0620277,-0.208347,1.66978,-0.113993,0.323377,1.69518,0.241582,0.3031,1.68607,0.310624,0.0615184,1.48446,0.398645,-0.223613,
1.8,1.58528,0.0620343,-0.208393,1.67005,-0.11407,0.323368,1.69541,0.241603,0.303026,1.68618,0.310601,0.0615279,1.48484,0.399036,-0.223151,
1.83,1.58552,0.0619164,-0.208436,1.67028,-0.114079,0.323288,1.69576,0.241573,0.302897,1.68652,0.31054,0.0615078,1.48466,0.400149,-0.223919,
1.86,1.58575,0.0619307,-0.208532,1.67054,-0.11412,0.323129,1.69639,0.24153,0.30259,1.68677,0.31039,0.0614244,1.48563,0.400978,-0.224606,
1.89,1.58591,0.0619262,-0.208565,1.67088,-0.114312,0.323049,1.69662,0.241489,0.302411,1.68719,0.310269,0.0613313,1.48645,0.400876,-0.224067,
1.92,1.58614,0.0618953,-0.208617,1.67129,-0.11443,0.323019,1.69693,0.24146,0.302341,1.68793,0.310157,0.061226,1.48751,0.400741,-0.225729,
1.95,1.58625,0.0619033,-0.208646,1.67142,-0.114481,0.322896,1.69721,0.241442,0.302173,1.68833,0.309988,0.0612989,1.48805,0.399205,-0.224306,
1.98,1.58645,0.0619149,-0.208686,1.6715,-0.114518,0.322871,1.69778,0.241225,0.302103,1.68896,0.309676,0.0613066,1.48917,0.398289,-0.224037,
2.01,1.58662,0.061947,-0.208718,1.67162,-0.114647,0.322802,1.69794,0.241173,0.302038,1.68934,0.309535,0.061313,1.48885,0.399786,-0.22537,
