Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
3.06,2.28982,-3.29723,0.278622,0.0346323,-0.0116017,-0.0015588,-0.201431,0.00888966,0.0250462,-0.0387373,0,0,
3.09,2.29818,-3.29619,0.27828,0.034586,-0.0114067,-0.00154184,-0.200677,0.00773456,0.0251696,-0.0382243,0,0,
3.12,2.30653,-3.29516,0.277943,0.0345402,-0.0112135,-0.001526,-0.19992,0.00659483,0.0252864,-0.0377143,0,0,
3.15,2.31487,-3.29412,0.277613,0.0344947,-0.0110216,-0.00151667,-0.199159,0.00547037,0.0253967,-0.0372074,0,0,
3.18,2.3232,-3.29308,0.277288,0.0344498,-0.0108322,-0.00149838,-0.198395,0.0043611,0.0255008,-0.0367035,0,0,
3.21,2.33152,-3.29205,0.276968,0.0344049,-0.0106435,-0.00149676,-0.197628,0.00326692,0.0255982,-0.0362029,0,0,
3.24,2.33982,-3.29102,0.276655,0.0343604,-0.0104573,-0.00148273,-0.196858,0.00218774,0.0256895,-0.0357055,0,0,
3.27,2.34812,-3.28999,0.276346,0.0343166,-0.0102735,-0.00146026,-0.196086,0.00112345,0.0257748,-0.035211,0,0,
3.3,2.35641,-3.28896,0.276044,0.0342734,-0.0100916,-0.00143859,-0.195311,7.39644e-05,0.0258543,-0.0347196,0,0,
3.33,2.3647,-3.28793,0.275746,0.0342309,-0.00991167,-0.00141722,-0.194534,-0.000960804,0.025928,-0.0342313,0,0,
3.36,2.37297,-3.2869,0.275454,0.034189,-0.00973349,-0.00139802,-0.193754,-0.00198095,0.0259959,-0.0337461,0,0,
3.39,2.38123,-3.28588,0.275168,0.0341473,-0.00955667,-0.00138744,-0.192973,-0.00298657,0.0260578,-0.0332642,0,0,
3.42,2.38949,-3.28485,0.274886,0.0341063,-0.00938214,-0.0013691,-0.19219,-0.00397776,0.0261142,-0.0327854,0,0,
3.45,2.39773,-3.28383,0.27461,0.0340658,-0.00920955,-0.00134996,-0.191405,-0.00495462,0.026165,-0.0323099,0,0,
3.48,2.40597,-3.28281,0.274339,0.0340261,-0.00903941,-0.00132087,-0.190619,-0.00591724,0.0262105,-0.0318373,0,0,
3.51,2.4142,-3.28179,0.274072,0.0339871,-0.00887076,-0.00130259,-0.189832,-0.00686572,0.0262505,-0.031368,0,0,
3.54,2.42242,-3.28077,0.273811,0.0339485,-0.00870398,-0.00128476,-0.189043,-0.00780015,0.0262852,-0.0309018,0,0,
3.57,2.43064,-3.27975,0.273555,0.0339104,-0.00853896,-0.00126954,-0.188254,-0.00872063,0.0263145,-0.030439,0,0,
3.6,2.43885,-3.27873,0.273304,0.0338733,-0.00837669,-0.00123789,-0.187464,-0.00962725,0.0263389,-0.0299792,0,0,
3.63,2.44704,-3.27772,0.273057,0.0338366,-0.00821563,-0.00122342,-0.186673,-0.0105201,0.0263579,-0.0295228,0,0,
3.66,2.45524,-3.2767,0.272816,0.0338007,-0.00805706,-0.00119694,-0.185881,-0.0113993,0.0263721,-0.0290694,0,0,
3.69,2.46342,-3.27569,0.272579,0.0337647,-0.00789907,-0.00119889,-0.18509,-0.012265,0.0263807,-0.0286198,0,0,
3.72,2.4716,-3.27467,0.272346,0.0337293,-0.0077437,-0.00118212,-0.184298,-0.0131172,0.0263844,-0.0281735,0,0,
3.75,2.47977,-3.27366,0.272119,0.0336938,-0.00758946,-0.00118091,-0.183506,-0.013956,0.0263828,-0.0277308,0,0,
3.78,2.48793,-3.27265,0.271896,0.0336581,-0.00743645,-0.00119034,-0.182714,-0.0147816,0.0263757,-0.0272921,0,0,
3.81,2.49609,-3.27164,0.271677,0.0336228,-0.00728617,-0.00117687,-0.181923,-0.0155941,0.0263639,-0.0268568,0,0,
3.84,2.50424,-3.27063,0.271463,0.0335877,-0.00713746,-0.00117087,-0.181131,-0.0163935,0.026347,-0.0264252,0,0,
3.87,2.51238,-3.26962,0.271253,0.0335525,-0.00699025,-0.00117285,-0.180341,-0.0171801,0.0263251,-0.0259974,0,0,
3.9,2.52052,-3.26862,0.271048,0.0335179,-0.00684584,-0.00115205,-0.179551,-0.0179538,0.0262987,-0.0255729,0,0,
3.93,2.52865,-3.26761,0.270847,0.0334847,-0.00670461,-0.00110741,-0.178762,-0.0187149,0.0262683,-0.0251514,0,0,
3.96,2.53678,-3.26661,0.27065,0.0334526,-0.00656531,-0.00107171,-0.177974,-0.0194633,0.0262338,-0.0247329,0,0,
3.99,2.5449,-3.2656,0.270457,0.0334209,-0.00642741,-0.0010539,-0.177188,-0.0201992,0.0261948,-0.0243178,0,0,
4.02,2.55301,-3.2646,0.270268,0.0333893,-0.00629073,-0.00105484,-0.176402,-0.0209228,0.026151,-0.0239066,0,0,
4.05,2.56112,-3.2636,0.270083,0.0333584,-0.00615689,-0.00103127,-0.175618,-0.021634,0.0261031,-0.0234987,0,0,
4.08,2.56922,-3.2626,0.269903,0.0333283,-0.00602531,-0.00100329,-0.174835,-0.022333,0.0260511,-0.023094,0,0,
4.11,2.57732,-3.2616,0.269726,0.0332982,-0.00589478,-0.00100063,-0.174054,-0.0230199,0.0259945,-0.0226931,0,0,
4.14,2.58541,-3.2606,0.269553,0.0332692,-0.00576734,-0.000968203,-0.173275,-0.0236949,0.0259341,-0.0222954,0,0,
4.17,2.5935,-3.2596,0.269384,0.0332406,-0.00564137,-0.000952112,-0.172498,-0.024358,0.0258696,-0.0219012,0,0,
4.2,2.60158,-3.25861,0.269218,0.0332125,-0.00551726,-0.00093912,-0.171722,-0.0250092,0.0258009,-0.0215106,0,0,
4.23,2.60965,-3.25761,0.269056,0.0331854,-0.00539598,-0.000903647,-0.170949,-0.0256489,0.0257285,-0.0211231,0,0,
4.26,2.61773,-3.25661,0.268898,0.0331583,-0.00527556,-0.000900839,-0.170178,-0.0262769,0.0256519,-0.0207394,0,0,
4.29,2.62579,-3.25562,0.268743,0.033131,-0.00515647,-0.000911633,-0.169409,-0.0268934,0.0255708,-0.0203599,0,0,
4.32,2.63386,-3.25462,0.268592,0.0331048,-0.00504102,-0.000871853,-0.168643,-0.0274987,0.0254864,-0.0199834,0,0,
4.35,2.64191,-3.25363,0.268444,0.0330787,-0.0049263,-0.000869195,-0.16788,-0.0280927,0.0253978,-0.0196108,0,0,
4.38,2.64997,-3.25264,0.2683,0.033053,-0.00481378,-0.000856999,-0.167119,-0.0286755,0.0253055,-0.0192419,0,0,
4.41,2.65802,-3.25165,0.268159,0.0330277,-0.00470311,-0.000845789,-0.166361,-0.0292473,0.0252093,-0.0188766,0,0,
4.44,2.66606,-3.25066,0.268021,0.0330026,-0.00459427,-0.000835762,-0.165606,-0.0298082,0.0251094,-0.0185151,0,0,
4.47,2.6741,-3.24967,0.267886,0.0329784,-0.00448795,-0.000807591,-0.164854,-0.0303584,0.025006,-0.0181569,0,0,
4.5,2.68214,-3.24868,0.267755,0.0329545,-0.00438299,-0.000796356,-0.164105,-0.0308978,0.024899,-0.0178025,0,0,
4.53,2.69017,-3.24769,0.267626,0.0329306,-0.00427945,-0.000796567,-0.163359,-0.0314266,0.0247882,-0.017452,0,0,
4.56,2.6982,-3.2467,0.267501,0.0329076,-0.00417875,-0.000766017,-0.162617,-0.031945,0.0246742,-0.0171048,0,0,
4.59,2.70622,-3.24571,0.267379,0.0328847,-0.00407898,-0.000763855,-0.161879,-0.032453,0.0245565,-0.0167616,0,0,
4.62,2.71425,-3.24473,0.267259,0.0328623,-0.00398143,-0.000747539,-0.161143,-0.0329508,0.0244354,-0.016422,0,0,
4.65,2.72226,-3.24374,0.267143,0.0328403,-0.00388568,-0.000731163,-0.160412,-0.0334384,0.024311,-0.0160861,0,0,
4.68,2.73028,-3.24276,0.267029,0.0328189,-0.00379169,-0.000715186,-0.159684,-0.033916,0.0241834,-0.0157538,0,0,
4.71,2.73829,-3.24177,0.266918,0.0327981,-0.00369972,-0.000690654,-0.158961,-0.0343837,0.0240526,-0.015425,0,0,
4.74,2.7463,-3.24079,0.26681,0.0327778,-0.00360907,-0.000679225,-0.158241,-0.0348415,0.0239185,-0.0150999,0,0,
4.77,2.7543,-3.2398,0.266704,0.0327576,-0.00351992,-0.000672565,-0.157525,-0.0352897,0.0237812,-0.0147788,0,0,
4.8,2.7623,-3.23882,0.266601,0.0327379,-0.00343275,-0.000655759,-0.156814,-0.0357283,0.0236408,-0.0144613,0,0,
4.83,2.7703,-3.23784,0.266501,0.0327182,-0.00334662,-0.000657087,-0.156106,-0.0361574,0.0234971,-0.014148,0,0,
4.86,2.77829,-3.23686,0.266403,0.0326992,-0.00326289,-0.000633361,-0.155403,-0.0365772,0.0233504,-0.0138382,0,0,
4.89,2.78629,-3.23588,0.266307,0.0326804,-0.00318017,-0.000628426,-0.154705,-0.0369877,0.0232007,-0.0135323,0,0,
4.92,2.79428,-3.2349,0.266214,0.0326618,-0.00309915,-0.000618047,-0.154011,-0.0373891,0.023048,-0.0132303,0,0,
4.95,2.80226,-3.23392,0.266124,0.0326432,-0.00301928,-0.000620047,-0.153322,-0.0377815,0.0228922,-0.0129325,0,0,
4.98,2.81025,-3.23294,0.266036,0.0326251,-0.00294142,-0.000604962,-0.152637,-0.0381651,0.0227336,-0.0126385,0,0,
5.01,2.81823,-3.23196,0.26595,0.0326069,-0.00286462,-0.000603832,-0.151958,-0.0385398,0.0225721,-0.0123486,0,0,
5.04,2.82621,-3.23098,0.265866,0.0325891,-0.00278956,-0.000593266,-0.151283,-0.0389059,0.0224077,-0.0120626,0,0,
5.07,2.83418,-3.23,0.265784,0.0325718,-0.00271611,-0.000577368,-0.150613,-0.0392635,0.0222407,-0.0117804,0,0,
5.1,2.84215,-3.22903,0.265705,0.0325549,-0.00264397,-0.000565137,-0.149948,-0.0396127,0.022071,-0.011502,0,0,
5.13,2.85013,-3.22805,0.265628,0.0325381,-0.00257307,-0.000557854,-0.149288,-0.0399536,0.0218987,-0.0112277,0,0,
5.16,2.85809,-3.22707,0.265553,0.0325214,-0.00250328,-0.000558613,-0.148634,-0.0402863,0.0217236,-0.0109575,0,0,
5.19,2.86606,-3.2261,0.26548,0.0325052,-0.00243545,-0.00053882,-0.147985,-0.040611,0.0215461,-0.0106911,0,0,
5.22,2.87403,-3.22512,0.265409,0.0324894,-0.00236869,-0.000527103,-0.147341,-0.0409277,0.0213661,-0.0104286,0,0,
5.25,2.88199,-3.22415,0.26534,0.0324752,-0.00230454,-0.000473394,-0.146703,-0.0412367,0.0211841,-0.0101689,0,0,
5.28,2.88995,-3.22317,0.265272,0.0324606,-0.00223965,-0.000485899,-0.14607,-0.0415378,0.0209994,-0.0099137,0,0,
5.31,2.89791,-3.2222,0.265207,0.0324465,-0.00217685,-0.000470133,-0.145442,-0.0418314,0.0208124,-0.00966237,0,0,
5.34,2.90586,-3.22123,0.265144,0.0324327,-0.00211509,-0.000460052,-0.144821,-0.0421175,0.020623,-0.00941503,0,0,
5.37,2.91382,-3.22025,0.265082,0.0324192,-0.00205455,-0.000449136,-0.144205,-0.0423963,0.0204314,-0.00917165,0,0,
5.4,2.92177,-3.21928,0.265022,0.0324061,-0.00199522,-0.000436948,-0.143595,-0.0426678,0.0202375,-0.00893221,0,0,
5.43,2.92972,-3.21831,0.264964,0.0323939,-0.00193762,-0.000406384,-0.14299,-0.0429321,0.0200416,-0.00869622,0,0,
5.46,2.93767,-3.21734,0.264908,0.0323817,-0.00188019,-0.00040716,-0.142392,-0.0431895,0.0198434,-0.00846453,0,0,
5.49,2.94562,-3.21636,0.264853,0.0323698,-0.00182416,-0.000398002,-0.1418,-0.04344,0.0196431,-0.00823689,0,0,
5.52,2.95356,-3.21539,0.2648,0.0323579,-0.00176903,-0.000395553,-0.141213,-0.0436837,0.0194407,-0.00801348,0,0,
5.55,2.96151,-3.21442,0.264748,0.0323469,-0.0017158,-0.000365876,-0.140633,-0.0439207,0.0192364,-0.00779356,0,0,
5.58,2.96945,-3.21345,0.264698,0.032336,-0.00166278,-0.000363451,-0.140059,-0.0441512,0.0190301,-0.00757789,0,0,
5.61,2.97739,-3.21248,0.26465,0.0323246,-0.0016102,-0.00038043,-0.139491,-0.0443753,0.0188217,-0.00736701,0,0,
5.64,2.98533,-3.21151,0.264603,0.0323137,-0.00155969,-0.000363815,-0.13893,-0.0445932,0.0186114,-0.00716001,0,0,
5.67,2.99327,-3.21054,0.264558,0.0323032,-0.00151008,-0.000350116,-0.138374,-0.0448049,0.0183993,-0.00695696,0,0,
5.7,3.0012,-3.20957,0.264514,0.0322948,-0.00146319,-0.00028128,-0.137825,-0.0450105,0.0181858,-0.00675635,0,0,
5.73,3.00914,-3.20861,0.264472,0.032286,-0.00141483,-0.000290878,-0.137283,-0.0452103,0.0179703,-0.00656035,0,0,
5.76,3.01707,-3.20764,0.264431,0.0322757,-0.00136602,-0.000345985,-0.136747,-0.0454041,0.0177529,-0.00637024,0,0,
