Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.62,1.67698,0.0519064,-0.227505,1.80266,-0.110384,0.281902,1.79776,0.254348,0.26155,1.74759,0.297838,-5.00272e-05,1.54647,0.29105,-0.301156,
1.65,1.67724,0.053869,-0.228305,1.80206,-0.109704,0.280965,1.79781,0.254603,0.261462,1.74775,0.298835,-2.23144e-05,1.54709,0.292927,-0.301523,
1.68,1.67781,0.0575617,-0.229606,1.80027,-0.108489,0.27915,1.79813,0.255402,0.261125,1.74907,0.301205,-0.000284826,1.55311,0.301804,-0.302946,
1.71,1.67792,0.0594296,-0.230138,1.79921,-0.107725,0.278496,1.79845,0.25571,0.260951,1.74964,0.302354,-0.000483663,1.55602,0.304961,-0.302912,
1.74,1.67795,0.0614593,-0.230529,1.79801,-0.10696,0.278428,1.79882,0.256362,0.260876,1.7507,0.304421,-0.00102129,1.56115,0.310734,-0.302549,
1.77,1.67821,0.0647956,-0.230936,1.79594,-0.105407,0.277715,1.80017,0.257903,0.260769,1.75355,0.309004,-0.00259097,1.56537,0.314799,-0.30141,
1.8,1.67795,0.0662856,-0.231192,1.79497,-0.104571,0.277104,1.80029,0.258352,0.260703,1.75476,0.310778,-0.0024062,1.56586,0.31676,-0.301063,
1.83,1.6779,0.0672991,-0.231383,1.7943,-0.104153,0.276545,1.80065,0.258935,0.2606,1.75548,0.31176,-0.00237547,1.56724,0.318151,-0.300935,
1.86,1.67792,0.0693847,-0.231696,1.79372,-0.103122,0.275945,1.80161,0.260596,0.260257,1.75619,0.313202,-0.00249924,1.56723,0.321899,-0.299979,
1.89,1.6775,0.0711754,-0.231717,1.79351,-0.102273,0.275669,1.8018,0.261903,0.259971,1.75654,0.31426,-0.00228184,1.56489,0.322365,-0.298632,
1.92,1.67746,0.0713841,-0.231693,1.79355,-0.101885,0.27557,1.80186,0.262388,0.259957,1.75662,0.314619,-0.00214739,1.56395,0.32224,-0.298452,
1.95,1.67741,0.0715656,-0.231706,1.79343,-0.101549,0.275506,1.80181,0.262882,0.25987,1.75631,0.315,-0.00232659,1.56214,0.321696,-0.29822,
1.98,1.67687,0.0720672,-0.231704,1.79306,-0.1004,0.275288,1.80136,0.263822,0.259774,1.75462,0.315633,-0.00233801,1.55483,0.319454,-0.296999,
2.01,1.67688,0.0721325,-0.231704,1.79323,-0.100058,0.27529,1.80137,0.264309,0.259576,1.75448,0.315723,-0.00214134,1.55418,0.318641,-0.296861,
2.04,1.67683,0.072186,-0.23173,1.79322,-0.0997426,0.275232,1.80122,0.264532,0.259409,1.75315,0.315753,-0.0027405,1.54893,0.315714,-0.29563,
2.07,1.67679,0.0721983,-0.231737,1.79324,-0.0992384,0.275313,1.80125,0.264975,0.259238,1.75216,0.31551,-0.00261197,1.54728,0.313321,-0.296124,
2.1,1.67674,0.0721454,-0.231717,1.79317,-0.0988633,0.275284,1.80119,0.265597,0.25882,1.75108,0.314885,-0.00298555,1.548,0.309832,-0.298419,
2.13,1.67668,0.0720342,-0.23167,1.7932,-0.0987383,0.275294,1.8012,0.265681,0.258798,1.75059,0.314324,-0.00308899,1.5499,0.307735,-0.300006,
2.16,1.6767,0.0718708,-0.23157,1.79323,-0.0985334,0.275444,1.80133,0.265797,0.258831,1.75052,0.313839,-0.00302267,1.55159,0.30667,-0.302098,
2.19,1.67675,0.0715766,-0.23143,1.79322,-0.0983478,0.275607,1.80146,0.265808,0.258931,1.75048,0.313567,-0.00340847,1.55368,0.306848,-0.302417,
2.22,1.67684,0.0713896,-0.231399,1.79321,-0.0983713,0.275654,1.80163,0.265812,0.258909,1.75049,0.31344,-0.00379686,1.55515,0.307612,-0.302752,
2.25,1.67697,0.0711628,-0.231308,1.79327,-0.0983417,0.275754,1.80184,0.265778,0.258946,1.75068,0.313145,-0.00372173,1.55563,0.308176,-0.302949,
2.28,1.67702,0.0710631,-0.231265,1.79334,-0.0983696,0.275756,1.8019,0.265746,0.258942,1.75094,0.312916,-0.0034795,1.55572,0.308657,-0.302655,
2.31,1.67703,0.0709041,-0.231265,1.79333,-0.0983565,0.275757,1.80192,0.265683,0.258903,1.75103,0.312788,-0.00344628,1.55559,0.309009,-0.302621,
2.34,1.67715,0.0706635,-0.231282,1.79334,-0.0983755,0.275779,1.80199,0.265493,0.258977,1.75139,0.312494,-0.00319349,1.55457,0.308737,-0.302097,
2.37,1.67713,0.0706147,-0.231295,1.79336,-0.0983678,0.275805,1.80197,0.265376,0.259007,1.75137,0.312464,-0.00320679,1.55322,0.308306,-0.301683,
2.4,1.67716,0.0704762,-0.231263,1.79337,-0.0983643,0.275821,1.80023,0.261405,0.262025,1.75144,0.312341,-0.0030987,1.55257,0.308204,-0.300968,
2.43,1.67713,0.0703273,-0.231246,1.79343,-0.0983919,0.275805,1.80037,0.261585,0.261763,1.75115,0.312113,-0.00346102,1.55202,0.307727,-0.301049,
2.46,1.67712,0.0702079,-0.231201,1.79344,-0.098412,0.275787,1.8004,0.2616,0.261736,1.75111,0.311953,-0.00324808,1.55166,0.307334,-0.300908,
2.49,1.67717,0.0701898,-0.231172,1.79352,-0.0983254,0.275839,1.80067,0.261856,0.261511,1.75113,0.311926,-0.00329456,1.55214,0.307155,-0.301922,
2.52,1.67722,0.0701304,-0.231181,1.79357,-0.0983295,0.275863,1.80084,0.26209,0.261166,1.75103,0.311873,-0.00350711,1.55234,0.307264,-0.302126,
2.55,1.6772,0.0701077,-0.2312,1.79359,-0.098346,0.275811,1.80088,0.262245,0.26099,1.75083,0.311875,-0.00378029,1.55216,0.307253,-0.302512,
2.58,1.67723,0.0700688,-0.231163,1.79362,-0.0983552,0.275801,1.79998,0.260274,0.262765,1.75095,0.311818,-0.00365081,1.55374,0.307985,-0.302686,
2.61,1.67723,0.0700374,-0.231157,1.79362,-0.0983537,0.275798,1.8003,0.260871,0.262219,1.75098,0.311912,-0.00380429,1.55407,0.308414,-0.301981,
2.64,1.6772,0.0700771,-0.231164,1.79363,-0.09836,0.275821,1.80039,0.261112,0.262007,1.75105,0.311955,-0.00375052,1.55345,0.30827,-0.301972,
2.67,1.6772,0.0700722,-0.231167,1.79365,-0.0983266,0.275791,1.8006,0.261562,0.261723,1.75113,0.311927,-0.00365329,1.55409,0.308494,-0.302119,
2.7,1.6772,0.0700781,-0.231164,1.79363,-0.0982781,0.275756,1.80103,0.261992,0.261479,1.75117,0.311934,-0.003668,1.55453,0.308535,-0.3023,
2.73,1.6772,0.0700772,-0.231156,1.79375,-0.098284,0.275703,1.80134,0.262442,0.261006,1.75113,0.312027,-0.00413265,1.55351,0.308301,-0.301678,
2.76,1.67719,0.070067,-0.231156,1.79376,-0.0983069,0.27566,1.80128,0.262527,0.260756,1.75114,0.312028,-0.00413597,1.55433,0.308574,-0.301805,
2.79,1.6772,0.0700636,-0.231156,1.7938,-0.098316,0.275699,1.80151,0.262951,0.260361,1.75119,0.312058,-0.00415675,1.55337,0.308206,-0.302132,
2.82,1.6772,0.0700601,-0.231156,1.79381,-0.0982934,0.275696,1.80156,0.263076,0.260258,1.75117,0.312085,-0.00419701,1.55338,0.308174,-0.301908,
2.85,1.67723,0.070031,-0.231133,1.79385,-0.0983276,0.275727,1.80165,0.263169,0.260222,1.75115,0.312122,-0.00429101,1.55331,0.30843,-0.30164,
2.88,1.67728,0.0701484,-0.231092,1.79388,-0.0983477,0.275744,1.80175,0.26329,0.260242,1.75117,0.312111,-0.0041824,1.55229,0.308397,-0.301621,
2.91,1.67729,0.0701535,-0.231073,1.79393,-0.0983665,0.275806,1.80178,0.263348,0.260169,1.75118,0.312127,-0.00414076,1.55255,0.308642,-0.301567,
2.94,1.67746,0.0701429,-0.23107,1.79397,-0.0984182,0.275758,1.80189,0.263513,0.260081,1.75126,0.312264,-0.00416446,1.55234,0.309693,-0.30027,
2.97,1.67755,0.0701355,-0.231028,1.79408,-0.0985112,0.275787,1.80196,0.2636,0.260081,1.75143,0.312273,-0.00392089,1.5535,0.310166,-0.299941,
3,1.67758,0.0701327,-0.231023,1.7941,-0.0984928,0.275794,1.80202,0.263679,0.260069,1.75144,0.312315,-0.00368775,1.55351,0.310356,-0.300132,
3.03,1.67763,0.0701474,-0.230979,1.79415,-0.0984414,0.275935,1.80054,0.261127,0.262397,1.75138,0.312428,-0.00391347,1.55341,0.310726,-0.299876,
3.06,1.67769,0.0701607,-0.231024,1.79413,-0.0984296,0.275932,1.80063,0.261621,0.262157,1.7514,0.312443,-0.00366672,1.55317,0.311059,-0.299158,
3.09,1.6777,0.0701418,-0.231042,1.79409,-0.0984826,0.275909,1.80084,0.2621,0.261756,1.75134,0.312555,-0.00367252,1.55375,0.31158,-0.299203,
3.12,1.6777,0.070138,-0.231049,1.79392,-0.0984734,0.275904,1.80088,0.262301,0.261581,1.75131,0.312572,-0.00356068,1.55249,0.311639,-0.298872,
3.15,1.67773,0.0702254,-0.231088,1.7939,-0.0984833,0.275897,1.80091,0.262411,0.261487,1.75124,0.312614,-0.00356648,1.55274,0.311867,-0.298996,
3.18,1.67786,0.0703789,-0.231041,1.7939,-0.0985546,0.275923,1.8,0.260377,0.263232,1.75126,0.31274,-0.00356876,1.55302,0.312057,-0.299249,
3.21,1.67792,0.0703896,-0.231032,1.79387,-0.0985719,0.275985,1.80015,0.260786,0.262909,1.75132,0.312809,-0.0035527,1.55302,0.311857,-0.298865,
3.24,1.67797,0.0703779,-0.231028,1.79388,-0.0987182,0.276077,1.80017,0.260969,0.262727,1.7513,0.312839,-0.00353679,1.55355,0.311545,-0.299972,
3.27,1.67797,0.0703321,-0.231051,1.79396,-0.0991597,0.276036,1.80022,0.26152,0.262006,1.75141,0.312859,-0.00347317,1.55437,0.311571,-0.300724,
3.3,1.67799,0.0703194,-0.231058,1.79396,-0.0992395,0.276017,1.8003,0.261637,0.261851,1.75145,0.31286,-0.00350642,1.5549,0.311424,-0.30025,
3.33,1.67802,0.070329,-0.231068,1.79397,-0.0993292,0.275975,1.80039,0.261833,0.261611,1.75149,0.312894,-0.00357803,1.55544,0.311241,-0.300604,
3.36,1.67802,0.0703153,-0.231064,1.79425,-0.0996781,0.275958,1.80039,0.261834,0.261532,1.75152,0.312881,-0.00358507,1.55482,0.31139,-0.299993,
3.39,1.67805,0.0703222,-0.231103,1.79425,-0.0996884,0.275952,1.80046,0.261966,0.261372,1.75152,0.31288,-0.00358527,1.55482,0.311522,-0.300962,
3.42,1.67808,0.0702849,-0.231083,1.79435,-0.100149,0.276071,1.80046,0.261949,0.261352,1.75158,0.312816,-0.00348151,1.55465,0.311206,-0.300366,
3.45,1.67816,0.0702339,-0.23107,1.79434,-0.100149,0.276069,1.80057,0.262032,0.261248,1.75161,0.312818,-0.00350962,1.55532,0.31051,-0.299822,
3.48,1.67818,0.0701663,-0.231073,1.79436,-0.100176,0.276062,1.80061,0.262071,0.261143,1.75163,0.312808,-0.00349535,1.55594,0.310359,-0.299481,
3.51,1.67822,0.0701264,-0.231097,1.79435,-0.100242,0.275998,1.80065,0.262136,0.26104,1.75166,0.312821,-0.00348489,1.5561,0.310304,-0.298574,
3.54,1.67823,0.0701017,-0.231087,1.79437,-0.10028,0.275985,1.8006,0.262134,0.260932,1.75184,0.312809,-0.00340159,1.55614,0.310709,-0.297133,
3.57,1.67823,0.0700987,-0.231083,1.79438,-0.100304,0.275987,1.80061,0.262143,0.26093,1.75186,0.312788,-0.00336088,1.556,0.31116,-0.29683,
3.6,1.67823,0.0700776,-0.231081,1.79448,-0.100456,0.276019,1.8008,0.262175,0.260904,1.75203,0.312571,-0.00314499,1.55583,0.310428,-0.295795,
3.63,1.67823,0.0700424,-0.231096,1.79453,-0.100712,0.275821,1.80079,0.262138,0.260859,1.75224,0.312512,-0.00284728,1.55514,0.311171,-0.294228,
3.66,1.67819,0.0699948,-0.231074,1.79454,-0.100725,0.275797,1.80095,0.262246,0.260826,1.7525,0.312561,-0.00267326,1.55532,0.311785,-0.290639,
3.69,1.67814,0.0699108,-0.231046,1.79453,-0.100723,0.275797,1.8009,0.262223,0.2608,1.7526,0.312601,-0.00261732,1.5554,0.311568,-0.288593,
3.72,1.67806,0.0697636,-0.231,1.79453,-0.100772,0.275751,1.80095,0.262235,0.260551,1.75319,0.312648,-0.00210243,1.5559,0.312718,-0.286042,
3.75,1.67805,0.0697343,-0.230968,1.79454,-0.100714,0.275744,1.801,0.262264,0.260543,1.75323,0.312633,-0.00209305,1.55705,0.315132,-0.281048,
3.78,1.67808,0.0696593,-0.230958,1.79454,-0.100713,0.275738,1.80101,0.26227,0.260531,1.7533,0.312607,-0.00197626,1.55816,0.315866,-0.279078,
3.81,1.67804,0.0696367,-0.230904,1.79455,-0.10067,0.275741,1.80114,0.262317,0.260604,1.75335,0.312557,-0.00192726,1.55836,0.316401,-0.276469,
3.84,1.67799,0.0695654,-0.230916,1.7945,-0.100684,0.275707,1.80106,0.262319,0.26052,1.75341,0.312548,-0.00182052,1.55724,0.315341,-0.275318,
3.87,1.67808,0.069407,-0.230883,1.79454,-0.10069,0.275737,1.80112,0.26236,0.260483,1.75374,0.312705,-0.00160729,1.55948,0.3159,-0.27438,
3.9,1.67808,0.0694085,-0.230868,1.79452,-0.100622,0.2757,1.80117,0.262435,0.260487,1.75394,0.312753,-0.00144343,1.55952,0.31553,-0.272961,
3.93,1.67808,0.0694056,-0.230866,1.79454,-0.10057,0.275669,1.80116,0.26245,0.260472,1.75445,0.312624,-0.000493056,1.55964,0.315919,-0.271987,
3.96,1.6781,0.0693307,-0.230843,1.79459,-0.100553,0.275681,1.80117,0.262527,0.260397,1.75468,0.312624,-0.000326285,1.56002,0.315579,-0.272185,
3.99,1.67813,0.0693274,-0.230833,1.79461,-0.100442,0.275699,1.80121,0.262553,0.260379,1.75485,0.312624,-0.000233009,1.55981,0.316388,-0.272529,
4.02,1.67814,0.0693275,-0.230813,1.79462,-0.10047,0.275693,1.80122,0.262592,0.260358,1.75522,0.312499,0.000428973,1.55839,0.317924,-0.273567,
4.05,1.67814,0.0693203,-0.230802,1.79454,-0.100561,0.275649,1.80123,0.262646,0.260282,1.75542,0.312399,0.000761737,1.55692,0.3194,-0.273609,
4.08,1.67815,0.0693179,-0.230801,1.79449,-0.100546,0.275608,1.80126,0.262667,0.260269,1.75542,0.312386,0.00087415,1.55764,0.319862,-0.272642,
